index,Date,Open,High,Low,Close,Volume,OpenInt
0,1962-01-02,6.412999999999999,6.412999999999999,6.3378,6.3378,467056,0
1,1962-01-03,6.3378,6.3963,6.3378,6.3963,350294,0
2,1962-01-04,6.3963,6.3963,6.3295,6.3295,314365,0
3,1962-01-05,6.3211,6.3211,6.1958,6.2041,440112,0
4,1962-01-08,6.2041,6.2041,6.0373,6.087000000000001,655676,0
5,1962-01-09,6.1208,6.2376,6.1208,6.1621,592806,0
6,1962-01-10,6.1707,6.2041,6.1707,6.1707,359274,0
7,1962-01-11,6.1875,6.2376,6.1875,6.2376,386220,0
8,1962-01-12,6.2543,6.2962,6.2543,6.2543,529933,0
9,1962-01-15,6.2708,6.2962,6.2708,6.2792,305383,0
10,1962-01-16,6.2708,6.2708,6.2128,6.2128,305383,0
11,1962-01-17,6.1875,6.1875,6.0956,6.1125,502984,0
12,1962-01-18,6.1291,6.1875,6.1291,6.1291,449093,0
13,1962-01-19,6.1291,6.1457,6.0624,6.1374,485021,0
14,1962-01-22,6.1374,6.1958,6.1208,6.1208,332329,0
15,1962-01-23,6.1208,6.1291,6.0538,6.0624,449093,0
16,1962-01-24,6.0624,6.0956,6.0287,6.0956,494001,0
17,1962-01-25,6.0956,6.1457,6.0208,6.0287,386220,0
18,1962-01-26,6.0287,6.0538,5.9951,5.9951,296401,0
19,1962-01-29,5.9951,6.0373,5.8952,5.8952,700585,0
20,1962-01-30,5.8952,5.9285,5.8201,5.8201,889207,0
21,1962-01-31,5.8784,6.0036,5.8784,6.0036,916151,0
22,1962-02-01,6.0703,6.1621,6.0703,6.1457,772443,0
23,1962-02-02,6.1457,6.1875,6.1208,6.1875,610767,0
24,1962-02-05,6.1875,6.1875,6.0703,6.104,377238,0
25,1962-02-06,6.104,6.1208,6.087000000000001,6.1125,314365,0
26,1962-02-07,6.1208,6.1542,6.1208,6.1208,305383,0
27,1962-02-08,6.1208,6.1542,6.1208,6.1208,26945,0
28,1962-02-09,6.1208,6.1707,6.0956,6.1707,520952,0
29,1962-02-12,6.1707,6.2209,6.1621,6.1707,341313,0
30,1962-02-13,6.1707,6.1793,6.0703,6.0703,314365,0
31,1962-02-14,6.0703,6.0956,6.0538,6.0624,251493,0
32,1962-02-15,6.0624,6.0624,6.0373,6.0373,278438,0
33,1962-02-16,6.0373,6.0624,6.0373,6.0373,269454,0
34,1962-02-19,6.0373,6.0624,5.9622,5.9703,341313,0
35,1962-02-20,5.9787,6.0036,5.9787,5.9787,350294,0
36,1962-02-21,5.9787,6.0208,5.9285,5.9285,440112,0
37,1962-02-23,5.937,5.9622,5.937,5.9537,350294,0
38,1962-02-26,5.9537,5.9537,5.9201,5.9285,359274,0
39,1962-02-27,5.9285,5.9787,5.8952,5.937,422149,0
40,1962-02-28,5.937,5.9537,5.9119,5.9537,323350,0
41,1962-03-01,5.9703,6.0208,5.9703,6.0208,341313,0
42,1962-03-02,6.0703,6.104,6.0703,6.0703,296401,0
43,1962-03-05,6.0703,6.0703,6.0287,6.0538,431133,0
44,1962-03-06,6.0538,6.079,6.0373,6.0538,224544,0
45,1962-03-07,6.0538,6.079,6.0373,6.079,152692,0
46,1962-03-08,6.079,6.087000000000001,6.0373,6.087000000000001,224544,0
47,1962-03-09,6.0956,6.1291,6.0956,6.1291,350294,0
48,1962-03-12,6.1291,6.1457,6.104,6.1208,341313,0
49,1962-03-13,6.1208,6.1208,6.0956,6.1208,152692,0
50,1962-03-14,6.1208,6.1374,6.0956,6.104,242514,0
51,1962-03-15,6.104,6.1374,6.0956,6.0956,296401,0
52,1962-03-16,6.0956,6.1208,6.0956,6.1208,197602,0
53,1962-03-19,6.1374,6.1621,6.1374,6.1374,449093,0
54,1962-03-20,6.1291,6.1291,6.104,6.104,197602,0
55,1962-03-21,6.104,6.1208,6.087000000000001,6.104,314365,0
56,1962-03-22,6.087000000000001,6.087000000000001,6.0373,6.0373,287417,0
57,1962-03-23,6.0454,6.0703,6.0454,6.0624,224544,0
58,1962-03-26,6.0624,6.087000000000001,6.0538,6.0624,161673,0
59,1962-03-27,6.0454,6.0454,5.937,5.9454,422149,0
